"","LocID","Location","Time","PopM.0","PopM.1-4","PopM.5-14","PopM.15-24","PopM.25-34","PopM.35-44","PopM.45-54","PopM.55-64","PopM.65-74","PopM.75-84","PopM.85+","PopF.0","PopF.1-4","PopF.5-14","PopF.15-24","PopF.25-34","PopF.35-44","PopF.45-54","PopF.55-64","PopF.65-74","PopF.75-84","PopF.85+"
"98","KGZ","Kyrgyzstan","2020",69.037,321.155,700.477,516.781,573.855,401.003,298.195,231.019,91.16,19.803,4.785,65.528,304.535,669.344,497.683,566.883,402.974,322.754,274.512,131.214,45.299,16.195
"28","KHM","Cambodia","2020",181.102,726.185,1732.101,1506.768,1411.574,1089.637,721.617,475.127,232.05,74.251,12.012,172.257,699.433,1659.253,1481.863,1419.023,1185.232,813.393,633.054,352.445,120.438,20.156
"69","KIR","Kiribati","2020",1.582,6.189,14.309,10.657,9.208,6.564,4.859,3.532,1.431,0.366,0.047,1.598,5.791,13.432,10.434,9.48,7.219,5.506,4.052,2.144,0.875,0.171
"96","KOR","Republic of Korea","2020",163.062,811.238,2333.595,2972.398,3604.346,3990.426,4354.907,3938.478,2217.682,1068.786,210.936,153.79,768.921,2199.989,2720.322,3178.129,3731.922,4254.519,3997.271,2459.549,1577.598,561.319
"97","KWT","Kuwait","2020",27.915,120.284,343.566,237.654,374.814,666.604,517.977,244.384,66.071,14.023,1.154,26.942,114.548,283.301,194.436,229.371,360.317,279.831,118.977,37.081,10.316,0.997
"99","LAO","Lao People's Democratic Republic","2020",83.674,322.662,777.197,707.87,634.867,455.225,321.811,210.424,100.516,32.799,4.749,80.304,310.247,750.257,692.781,626.685,456.935,323.248,211.491,117.822,46.056,7.936
"100","LBN","Lebanon","2020",53.608,235.46,600.375,585.509,519.906,453.112,420.372,331.922,154.698,65.196,15.588,52.697,224.362,544.551,583.764,585.515,487.533,379.726,251.774,175.259,77.67,26.845
"103","LBR","Liberia","2020",78.681,299.27,663.33,514.192,357.7,271.641,176.894,106.131,52.222,20.314,2.164,75.49,287.052,638.073,500.825,354.386,269.267,179.972,116.934,63.943,26.136,3.06
"104","LBY","Libya","2020",59.801,260.711,659.426,563.629,571.427,577.159,437.816,198.372,92.984,40.705,6.707,56.685,246.801,625.746,540.547,567.048,565.619,418.741,210.779,107.162,52.331,11.091
"153","LCA","Saint Lucia","2020",1.061,4.424,11.209,14.541,15.487,13.155,12.022,9.316,5.341,2.836,1.03,1.029,4.312,10.929,14.512,15.751,13.886,12.966,10.119,5.677,3.046,0.98
"33","LKA","Sri Lanka","2020",169.093,675.239,1720.617,1573.503,1297.843,1412.337,1299.6,1102.288,717.662,242.321,56.848,163.877,652.201,1690.669,1586.707,1460.749,1579.733,1374.346,1249.126,909.093,384.695,94.703
"101","LSO","Lesotho","2020",27.008,100.613,218.029,211.267,187.383,143.814,79.701,51.201,27.771,9.198,0.965,26.554,99.338,219.077,209.606,178.632,128.194,85.776,70.041,43.56,19.737,4.787
"105","LTU","Lithuania","2020",11.88,62.862,141.669,131.499,192.8,158.311,182.19,188.837,104.848,65.185,19.906,11.389,58.987,134.568,124.307,176.796,154.07,197.394,233.45,169.837,132.983,68.523
"106","LUX","Luxembourg","2020",3.333,13.769,32.695,38.266,48.268,48.78,50.784,39.612,24.486,12.289,4.305,3.178,12.969,31.443,35.989,46.568,46.953,45.444,37.842,25.079,15.614,8.31
"102","LVA","Latvia","2020",14.352,45.089,101.288,79.999,134.044,121.036,121.251,123.204,74.596,42.011,12.466,13.223,41.356,94.633,76.084,126.907,120.675,131.065,151.792,120.338,95.446,45.347
"107","MAC","China, Macao SAR","2020",3.447,14.92,29.516,29.994,57.648,51.798,41.215,46.315,27.732,7.351,2.164,3.32,14.246,27.76,28.473,62.275,54.346,55.157,51.175,27.118,8.446,4.926
"121","MAR","Morocco","2020",318.41,1387.92,3363.724,2984.135,2940.116,2432.799,1891.16,1679.166,920.947,355.178,43.332,300.779,1317.929,3191.456,2859.802,2931.377,2671.471,2125.364,1707.291,928.939,470.252,89.011
"119","MDA","Republic of Moldova","2020",19.007,84.947,225.702,227.706,379.934,330.219,236.214,241.827,134.982,42.443,8.972,18.372,80.194,212.706,215.828,367.77,327.345,259.381,302.849,200.597,90.396,26.572
"108","MDG","Madagascar","2020",439.449,1639.104,3521.242,2843.939,2020.78,1426.505,950.331,580.463,283.645,91.625,17.536,429.642,1601.232,3463.058,2843.943,2031.95,1428.736,981.923,630.11,327.01,117.009,21.787
"111","MDV","Maldives","2020",3.373,15.022,36.27,49.632,129.048,58.97,27.535,13.137,5.585,3.481,0.875,3.229,13.955,34.097,27.734,42.464,32.524,20.376,13.756,5.353,3.358,0.768
"117","MEX","Mexico","2020",1095.892,4508.889,11424.528,11200.174,10132.542,8373.527,7018.813,4911.762,2783.193,1230.544,391.622,1044.839,4309.122,10926.853,10949.238,10453.112,9248.587,7921.898,5590.746,3279.013,1549.966,587.893
"188","MKD","North Macedonia","2020",10.788,46.877,117.938,129.42,161.249,162.98,146.782,131.433,90.643,37.219,6.802,10.282,43.936,109.982,122.074,153.451,155.526,143.652,135.391,104.113,51.805,11.037
"112","MLI","Mali","2020",389.291,1444.241,3006.446,2036.883,1299.037,902.018,554.925,291.692,159.695,55.258,5.688,376.146,1395.836,2907.411,1989.5,1296.281,918.053,593.168,348.264,202.771,71.268,6.962
"113","MLT","Malta","2020",2.167,8.977,21.657,23.423,32.858,32.888,27.265,29.118,27.093,12.766,3.208,2.078,8.452,20.136,22.189,30.231,30.691,26.064,29.189,28.426,16.072,6.591
