Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
Morelos,Mexico,2047.959414,419.795341,5.493952095,244,1.867722801,2.491775112,3.412560355,365,1.473173726,1.965397448,2.69167044,8.308614744,70.029425,75.68332426,72.78742464,-2.642136002,-2.123539738,-2.389162215
Nayarit,Mexico,1255.449391,45.12762574,5.470151957,244,1.595454432,2.100374385,2.876525382,365,1.417022472,1.865473338,2.554821389,8.233329988,70.33842305,75.85392753,73.02891304,-2.560775953,-2.042962475,-2.308184012
Nuevo Leon,Mexico,5360.736534,83.51926647,4.967488693,244,1.694936228,2.6690285,3.655314156,365,1.657048419,2.60936629,3.573604981,7.381653921,69.52554392,76.14799936,72.75600999,-3.398558081,-2.948905645,-3.179215429
Oaxaca,Mexico,4386.373341,46.8407516,5.713102866,244,0.851220405,1.047945844,1.435193097,365,0.766464625,0.943602167,1.292291319,8.392989832,70.07978457,75.78060031,72.8606703,-1.312225429,-1.061873691,-1.19010263
Puebla,Mexico,6612.709445,192.7810566,5.368843957,244,1.721052432,2.512034787,3.440306583,365,1.466569805,2.140593917,2.931607231,7.882649837,68.97357799,75.46879933,72.14197865,-2.768096008,-2.361082668,-2.569552915
Queretaro,Mexico,2094.397352,178.9694428,4.356824114,244,2.139147762,3.69133284,5.055390449,365,1.964765662,3.3904175,4.643277914,7.308636996,68.49469515,75.03890662,71.68699343,-4.224839845,-3.606175376,-3.923052299
Quintana Roo,Mexico,1497.403063,33.43683334,3.346464712,244,1.676317495,4.316570186,5.911671647,365,1.529314355,3.938032486,5.393252975,5.527662318,67.94092572,74.59329197,71.18598243,-4.702583283,-4.04314103,-4.380904135
San Luis Potosi,Mexico,2972.709603,48.63459322,5.140169204,244,1.436165603,1.879640634,2.574223924,365,1.576676039,2.063539429,2.826078811,8.589798883,69.56510535,75.36542921,72.39453162,-2.70586965,-2.193694793,-2.456028256
Sinaloa,Mexico,3215.595895,55.99895444,5.588271531,244,1.741251083,2.504603419,3.430129102,365,1.59628267,2.296081863,3.144552611,8.030786483,69.1918522,75.75947495,72.39557062,-2.9422008,-2.531621048,-2.741917994
Sonora,Mexico,3077.473585,17.10683613,5.602295604,244,1.64684265,2.592404901,3.550375852,365,1.582791815,2.491578207,3.412290687,7.492885374,69.19802551,75.81770615,72.42713802,-3.190818491,-2.759681848,-2.980507933
Tabasco,Mexico,2555.913904,103.3279274,4.983465134,244,0.931751029,1.582191766,2.166858826,365,0.849793883,1.443021625,1.976261166,6.45617396,70.07199071,76.54929005,73.23164892,-1.964313295,-1.693616951,-1.832266298
Tamaulipas,Mexico,3689.7431,45.94464224,5.262265822,244,1.057745017,1.615630983,2.212654831,365,1.094385135,1.671596181,2.28930084,7.197686622,69.97939038,76.45681356,73.139109,-2.247121623,-1.933267436,-2.09402202
Tlaxcala,Mexico,1345.007655,336.5002364,4.731028022,244,1.439171527,2.139463102,2.930058546,365,1.324156032,1.96848181,2.695894565,7.453059691,69.7827145,75.87244206,72.75331331,-2.660591498,-2.211899943,-2.441717569
Veracruz de Ignacio de la Llave,Mexico,8831.400657,122.9408844,5.897926966,244,0.957360717,1.245020498,1.705092715,365,0.934393118,1.215151787,1.664186624,8.200792972,69.89687388,76.25468262,72.998244,-1.614023121,-1.373524379,-1.496706662
Yucatan,Mexico,2269.236978,57.43943112,5.712891898,244,1.700100239,2.268857014,3.107267369,365,1.551182197,2.070119471,2.835090375,8.512908006,69.04272844,75.58804636,72.23556645,-2.641549564,-2.26718564,-2.458933015
Zacatecas,Mexico,1713.503297,22.75984007,5.616944886,244,1.15848127,1.456291084,1.994434085,365,1.496933216,1.881748589,2.577110831,8.593017564,69.55393748,76.02028574,72.7082537,-2.501062524,-2.141529259,-2.325680443
Monaco,Cntry/Terr,39.244,26338.255,NA,244,1.143539119,NA,1.719995543,365,0.815411273,1.151152054,1.576537081,NA,NA,NA,NA,NA,NA,NA
Montenegro,Cntry/Terr,628.062,46.696,10.703,244,2.481808338,2.080542154,2.84936455,365,2.579363184,2.162324041,2.961367284,13.43657858,72.10141553,77.35443645,74.66386476,-2.487722711,-2.063075818,-2.280577885
Montserrat,Cntry/Terr,4.999,49.99,NA,244,0,NA,1.719995543,365,0,1.151152054,1.576537081,NA,NA,NA,NA,NA,NA,NA
Morocco,Cntry/Terr,36910.558,82.703,5.059,244,0.21321646,0.348558568,0.477361357,365,0.308746348,0.504727378,0.691239203,5.5083141,74.9480107,77.62087498,76.25184694,-0.667455444,-0.473191078,-0.572692338
Mozambique,Cntry/Terr,31255.435,39.746,8.622,244,0.081267177,0.348783889,0.477669942,365,0.058805773,0.25238364,0.345646924,8.215096429,57.86960093,63.75944044,60.74269337,-0.148467392,-0.12829985,-0.138629567
