LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
JPN,Japan,Cntry/Terr,126476.458,346.934,10.427,302,0.142890896,0.052930588,0.083205259,365,0.130838579,0.048466089,0.076187204,11.72776105,81.45589789,87.63833267,84.47171973,-0.13823237,-0.139916265,-0.139053782
SGP,Singapore,Cntry/Terr,5850.343,8357.633,4.448,302,0.069206901,0.052917002,0.083183902,365,0.05743253,0.043914079,0.069031584,5.143229288,81.52300098,85.72602549,83.57325684,-0.125534892,-0.107699195,-0.116834552
ISL,Iceland,Cntry/Terr,341.25,3.404,6.699,302,0.014166849,0.009355501,0.014706561,365,0.064468864,0.042573938,0.066924924,7.053343714,81.56594432,84.51195359,83.00302201,-0.116387485,-0.089647811,-0.103343741
UZB,Uzbekistan,Cntry/Terr,33469.199,78.677,5.772,302,0.025349985,0.044732276,0.070317764,365,0.023185497,0.040912845,0.064313736,5.905596452,69.55206322,73.90143705,71.67370899,-0.05240883,-0.042022508,-0.047342331
TZA,United Republic of Tanzania,Cntry/Terr,59734.213,67.435,6.503,302,0.014244114,0.046288988,0.072764868,365,0.011785541,0.038299382,0.060205452,6.268980723,63.73139634,67.39059669,65.51637212,-0.040592422,-0.029903207,-0.035378171
KOR,Republic of Korea,Cntry/Terr,51269.183,527.298,5.918,302,0.044790213,0.029052428,0.045669525,365,0.046070561,0.029882904,0.046975008,6.768663698,79.96500381,85.98398018,82.90108984,-0.074287629,-0.069943218,-0.072168404
BEN,Benin,Cntry/Terr,12123.198,107.513,8.959,302,0.01166419,0.032019624,0.050333866,365,0.009898378,0.027172255,0.042713951,8.606357738,60.45687093,63.60924463,61.9946142,-0.029548971,-0.020988385,-0.025373076
NGA,Nigeria,Cntry/Terr,206139.587,226.336,11.965,302,0.009398489,0.029730396,0.04673527,365,0.008562159,0.027084821,0.042576507,11.47545477,54.02312276,55.89621096,54.93682432,-0.019047588,-0.012508223,-0.015857654
COD,Democratic Republic of the Congo,Cntry/Terr,89561.404,39.506,9.58,302,0.006747378,0.020247113,0.031827841,365,0.008787267,0.026368287,0.041450138,9.16858254,59.32169765,62.44874073,60.84708452,-0.027551526,-0.019604801,-0.023675075
CAF,Central African Republic,Cntry/Terr,4829.764,7.753,12.388,302,0.00925895,0.029957226,0.047091839,365,0.007867879,0.025456433,0.040016731,11.81993926,51.30500082,55.7008471,53.44931608,-0.015439042,-0.012696495,-0.014101214
BFA,Burkina Faso,Cntry/Terr,20903.278,76.401,8.274,302,0.007458667,0.026331212,0.041391858,365,0.007128069,0.025164105,0.039557201,7.781613562,61.05111359,62.65985955,61.83586772,-0.023822353,-0.015808031,-0.019912928
TWN,"China, Taiwan Province of China",Cntry/Terr,23816.775,672.6,7.502,302,0.042626753,0.027394864,0.043063885,365,0.035269259,0.022666435,0.03563094,8.128218199,77.9245359,83.27799879,80.53598121,-0.057038465,-0.047352287,-0.0523135
NER,Niger,Cntry/Terr,24206.636,19.11,8.407,302,0.005342386,0.018869734,0.029662642,365,0.00586616,0.020719745,0.032570804,7.900015391,61.5203757,63.90597531,62.68408283,-0.020733204,-0.014156775,-0.01752519
AUS,Australia,Cntry/Terr,25499.881,3.319,6.598,302,0.037869934,0.024048404,0.037803353,365,0.031490343,0.019997196,0.031434979,6.89908277,81.58356375,85.46127943,83.47513238,-0.057424453,-0.046957716,-0.052318727
SSD,South Sudan,Cntry/Terr,11193.729,18.322,10.561,302,0.00755804,0.020386418,0.032046824,365,0.006968187,0.0187954,0.029545792,10.24380696,56.55412905,59.60591171,58.04280352,-0.017138585,-0.012313883,-0.014785072
SLE,Sierra Leone,Cntry/Terr,7976.985,110.515,11.913,302,0.006818042,0.020157816,0.031687468,365,0.006017311,0.017790423,0.027966,11.39333574,54.10283498,55.79380846,54.92770009,-0.012531921,-0.009268825,-0.010940167
TCD,Chad,Cntry/Terr,16425.859,13.045,12.241,302,0.005150577,0.018177585,0.028574605,365,0.00474861,0.016758951,0.026344556,11.72643242,53.05247293,55.91267013,54.44769108,-0.013317548,-0.009502268,-0.011456436
NIC,Nicaragua,Cntry/Terr,6624.554,55.049,5.061,302,0.007845086,0.012568888,0.019757906,365,0.008000539,0.012817943,0.020149413,5.199196531,71.14855067,78.12909052,74.55369206,-0.02289535,-0.021158404,-0.022048059
TJK,Tajikistan,Cntry/Terr,9537.642,68.145,4.897,302,0.004435197,0.010839178,0.017038855,365,0.0046133,0.011274442,0.017723077,4.734673446,69.05255916,73.56284017,71.25269624,-0.013838253,-0.010761615,-0.012337454
BDI,Burundi,Cntry/Terr,11890.781,463.037,8.042,302,0.003659132,0.012987047,0.020415239,365,0.003111654,0.011043932,0.017360721,7.666346201,60.01441871,63.66331347,61.79436737,-0.010954594,-0.008092904,-0.009558648
HKG,"China, Hong Kong SAR",Cntry/Terr,7496.988,7139.989,6.605,302,0.010478822,0.005720582,0.008992579,365,0.014405785,0.007864383,0.012362569,7.262334879,82.03921351,87.8235395,84.86083594,-0.023576348,-0.023545691,-0.023561394
NZL,New Zealand,Cntry/Terr,4822.233,18.314,6.984,302,0.000751898,0.000485814,0.000763685,365,0.000622118,0.000401961,0.000631871,7.256404058,80.73866706,84.07998427,82.36857789,-0.001091868,-0.000857111,-0.000977353
CHN,China,Cntry/Terr,1439323.774,153.312,7.121,302,5.63E-05,5.00E-05,7.86E-05,365,7.64E-05,6.79E-05,0.000106786,7.666102862,74.90946447,79.34669839,77.07396882,-0.000117587,-0.000101156,-0.000109572
CN07,Jilin,China,27592.34522,147.2377013,6.26,302,4.38E-05,3.89E-05,6.12E-05,365,3.62E-05,3.22E-05,5.06E-05,NA,NA,NA,NA,NA,NA,NA
CN03,Hebei,China,77845.07058,414.7313297,6.38,302,1.55E-05,1.38E-05,2.17E-05,365,1.28E-05,1.14E-05,1.79E-05,NA,NA,NA,NA,NA,NA,NA
CN01,Beijing,China,22086.18046,1314.653599,5.58,302,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN02,Tianjin,China,16016.06958,1416.724421,5.42,302,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN05,Inner Mongolia,China,26044.05681,22.01526357,5.95,302,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN06,Liaoning,China,44623.5178,305.8500192,7.39,302,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN08,Heilongjiang,China,38461.12483,84.71613399,6.67,302,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN09,Shanghai,China,24895.65745,3926.140585,5.4,302,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN11,Zhejiang,China,59983.35918,588.0721488,5.58,302,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN12,Anhui,China,65274.19906,467.2455194,5.96,302,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN13,Fujian,China,40737.41641,335.0667578,6.2,302,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN14,Jiangxi,China,47843.13742,286.4858528,6.06,302,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN15,Shandong,China,103253.4063,671.3485456,7.18,302,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN16,Henan,China,98844.37307,591.8824735,6.8,302,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
